t:0.61, r:25.00, omega:29.07, omega_m:25.00, u:415.88, theta1:17.196, theta2:0.482, e:4.069
t:0.62, r:25.00, omega:29.06, omega_m:25.00, u:415.59, theta1:17.191, theta2:0.488, e:4.061
t:0.63, r:25.00, omega:29.06, omega_m:25.00, u:415.29, theta1:17.186, theta2:0.494, e:4.061
t:0.64, r:25.00, omega:30.68, omega_m:25.00, u:414.04, theta1:17.178, theta2:0.503, e:5.681
t:0.65, r:25.00, omega:30.95, omega_m:25.00, u:413.44, theta1:17.171, theta2:0.512, e:5.951
t:0.66, r:25.00, omega:30.95, omega_m:25.00, u:412.96, theta1:17.164, theta2:0.521, e:5.951
t:0.67, r:25.00, omega:29.62, omega_m:25.00, u:413.31, theta1:17.158, theta2:0.528, e:4.617
t:0.68, r:25.00, omega:29.62, omega_m:25.00, u:412.97, theta1:17.152, theta2:0.535, e:4.617
t:0.69, r:25.00, omega:28.59, omega_m:25.00, u:413.26, theta1:17.148, theta2:0.540, e:3.592
t:0.70, r:25.00, omega:28.59, omega_m:25.00, u:413.00, theta1:17.143, theta2:0.545, e:3.592
t:0.71, r:25.00, omega:31.56, omega_m:25.00, u:410.85, theta1:17.135, theta2:0.555, e:6.555
t:0.72, r:25.00, omega:29.24, omega_m:25.00, u:411.82, theta1:17.130, theta2:0.561, e:4.237
t:0.73, r:25.00, omega:29.24, omega_m:25.00, u:411.51, theta1:17.124, theta2:0.568, e:4.237
t:0.74, r:25.00, omega:28.62, omega_m:25.00, u:411.60, theta1:17.120, theta2:0.573, e:3.621
t:0.75, r:25.00, omega:28.62, omega_m:25.00, u:411.34, theta1:17.115, theta2:0.578, e:3.621
t:0.76, r:25.00, omega:29.99, omega_m:25.00, u:410.17, theta1:17.109, theta2:0.586, e:4.988
t:0.77, r:25.00, omega:29.99, omega_m:25.00, u:409.79, theta1:17.103, theta2:0.593, e:4.988
t:0.78, r:25.00, omega:31.00, omega_m:25.00, u:408.71, theta1:17.095, theta2:0.602, e:5.997
t:0.79, r:25.00, omega:29.92, omega_m:25.00, u:408.99, theta1:17.089, theta2:0.610, e:4.922
t:0.80, r:25.00, omega:29.92, omega_m:25.00, u:408.61, theta1:17.083, theta2:0.617, e:4.922
t:0.81, r:25.00, omega:28.68, omega_m:25.00, u:409.11, theta1:17.078, theta2:0.622, e:3.679
t:0.82, r:25.00, omega:28.68, omega_m:25.00, u:408.85, theta1:17.074, theta2:0.628, e:3.679
t:0.83, r:25.00, omega:28.49, omega_m:25.00, u:408.72, theta1:17.069, theta2:0.633, e:3.486
t:0.84, r:25.00, omega:28.49, omega_m:25.00, u:408.47, theta1:17.065, theta2:0.637, e:3.486
t:0.85, r:25.00, omega:30.47, omega_m:25.00, u:406.78, theta1:17.058, theta2:0.646, e:5.472
t:0.86, r:25.00, omega:30.69, omega_m:25.00, u:406.19, theta1:17.051, theta2:0.655, e:5.688
t:0.87, r:25.00, omega:30.69, omega_m:25.00, u:405.74, theta1:17.044, theta2:0.663, e:5.688
t:0.88, r:25.00, omega:28.57, omega_m:25.00, u:406.89, theta1:17.040, theta2:0.668, e:3.568
t:0.89, r:25.00, omega:28.57, omega_m:25.00, u:406.64, theta1:17.035, theta2:0.673, e:3.568
t:0.90, r:25.00, omega:27.78, omega_m:25.00, u:406.97, theta1:17.032, theta2:0.677, e:2.780
t:0.91, r:25.00, omega:27.78, omega_m:25.00, u:406.78, theta1:17.028, theta2:0.681, e:2.780
t:0.92, r:25.00, omega:31.21, omega_m:25.00, u:403.95, theta1:17.020, theta2:0.691, e:6.207
t:0.93, r:25.00, omega:31.21, omega_m:25.00, u:403.45, theta1:17.013, theta2:0.701, e:6.207
t:0.94, r:25.00, omega:29.28, omega_m:25.00, u:404.48, theta1:17.007, theta2:0.707, e:4.284
t:0.95, r:25.00, omega:28.02, omega_m:25.00, u:405.16, theta1:17.003, theta2:0.711, e:3.024
t:0.96, r:25.00, omega:28.02, omega_m:25.00, u:404.95, theta1:17.000, theta2:0.715, e:3.024
t:0.97, r:25.00, omega:29.16, omega_m:25.00, u:403.83, theta1:16.994, theta2:0.721, e:4.157
t:0.98, r:25.00, omega:29.16, omega_m:25.00, u:403.52, theta1:16.989, theta2:0.727, e:4.157
t:0.99, r:25.00, omega:31.31, omega_m:25.00, u:401.45, theta1:16.981, theta2:0.737, e:6.314
t:1.00, r:25.00, omega:31.31, omega_m:25.00, u:400.94, theta1:16.973, theta2:0.747, e:6.314
t:1.01, r:0.00, omega:28.16, omega_m:9.20, u:0.00, theta1:16.973, theta2:0.774, e:18.966
t:1.02, r:0.00, omega:28.16, omega_m:3.38, u:0.00, theta1:16.973, theta2:0.809, e:24.779
t:1.03, r:0.00, omega:24.13, omega_m:1.24, u:0.00, theta1:16.973, theta2:0.836, e:22.889
t:1.04, r:0.00, omega:24.13, omega_m:0.46, u:0.00, theta1:16.973, theta2:0.865, e:23.676
