t:199.41, r:5.00, y:2.75, ym:5.00, u:0.00, theta1:15.76, theta2:49.99, e:-2.25
t:199.43, r:5.00, y:2.20, ym:5.00, u:0.00, theta1:15.77, theta2:49.98, e:-2.80
t:199.45, r:5.00, y:1.76, ym:5.00, u:0.00, theta1:15.79, theta2:49.97, e:-3.24
t:199.47, r:5.00, y:1.41, ym:5.00, u:8.67, theta1:15.80, theta2:49.97, e:-3.59
t:199.49, r:5.00, y:1.12, ym:5.00, u:22.82, theta1:15.82, theta2:49.96, e:-3.88
t:199.51, r:5.00, y:0.90, ym:5.00, u:34.16, theta1:15.84, theta2:49.96, e:-4.10
t:199.53, r:5.00, y:0.72, ym:5.00, u:43.25, theta1:15.86, theta2:49.96, e:-4.28
t:199.55, r:5.00, y:0.58, ym:5.00, u:50.56, theta1:15.89, theta2:49.95, e:-4.42
t:199.57, r:5.00, y:0.46, ym:5.00, u:56.42, theta1:15.91, theta2:49.95, e:-4.54
t:199.59, r:5.00, y:0.37, ym:5.00, u:61.14, theta1:15.93, theta2:49.95, e:-4.63
t:199.61, r:5.00, y:0.43, ym:5.00, u:58.22, theta1:15.96, theta2:49.95, e:-4.57
t:199.63, r:5.00, y:0.48, ym:5.00, u:55.91, theta1:15.98, theta2:49.95, e:-4.52
t:199.65, r:5.00, y:0.52, ym:5.00, u:54.09, theta1:16.00, theta2:49.94, e:-4.48
t:199.67, r:5.00, y:2.12, ym:5.00, u:0.00, theta1:16.01, theta2:49.94, e:-2.88
t:199.69, r:5.00, y:3.40, ym:5.00, u:0.00, theta1:16.02, theta2:49.93, e:-1.60
t:199.71, r:5.00, y:4.43, ym:5.00, u:0.00, theta1:16.03, theta2:49.93, e:-0.57
t:199.73, r:5.00, y:5.25, ym:5.00, u:0.00, theta1:16.02, theta2:49.93, e:0.25
t:199.75, r:5.00, y:5.90, ym:5.00, u:0.00, theta1:16.02, theta2:49.94, e:0.90
t:199.77, r:5.00, y:6.43, ym:5.00, u:0.00, theta1:16.01, theta2:49.95, e:1.43
t:199.79, r:5.00, y:6.85, ym:5.00, u:0.00, theta1:16.00, theta2:49.96, e:1.85
t:199.81, r:5.00, y:7.19, ym:5.00, u:0.00, theta1:15.99, theta2:49.97, e:2.19
t:199.83, r:5.00, y:7.45, ym:5.00, u:0.00, theta1:15.98, theta2:49.99, e:2.45
t:199.85, r:5.00, y:7.67, ym:5.00, u:0.00, theta1:15.97, theta2:50.00, e:2.67
t:199.87, r:5.00, y:7.84, ym:5.00, u:0.00, theta1:15.95, theta2:50.00, e:2.84
t:199.89, r:5.00, y:7.98, ym:5.00, u:0.00, theta1:15.94, theta2:50.00, e:2.98
t:199.91, r:5.00, y:8.09, ym:5.00, u:0.00, theta1:15.92, theta2:50.00, e:3.09
t:199.93, r:5.00, y:8.18, ym:5.00, u:0.00, theta1:15.91, theta2:50.00, e:3.18
t:199.95, r:5.00, y:8.25, ym:5.00, u:0.00, theta1:15.89, theta2:50.00, e:3.25
t:199.97, r:5.00, y:8.30, ym:5.00, u:0.00, theta1:15.87, theta2:50.00, e:3.30
t:199.99, r:5.00, y:8.35, ym:5.00, u:0.00, theta1:15.86, theta2:50.00, e:3.35
t:200.01, r:5.00, y:8.39, ym:5.00, u:0.00, theta1:15.84, theta2:50.00, e:3.39
t:200.03, r:5.00, y:8.41, ym:5.00, u:0.00, theta1:15.82, theta2:50.00, e:3.41
t:200.05, r:5.00, y:8.44, ym:5.00, u:0.00, theta1:15.81, theta2:50.00, e:3.44
t:200.07, r:5.00, y:8.46, ym:5.00, u:0.00, theta1:15.79, theta2:50.00, e:3.46
t:200.09, r:5.00, y:8.47, ym:5.00, u:0.00, theta1:15.77, theta2:50.00, e:3.47
t:200.11, r:5.00, y:8.48, ym:5.00, u:0.00, theta1:15.75, theta2:50.00, e:3.48
t:200.13, r:5.00, y:8.49, ym:5.00, u:0.00, theta1:15.74, theta2:50.00, e:3.49
t:200.15, r:5.00, y:8.50, ym:5.00, u:0.00, theta1:15.72, theta2:50.00, e:3.50
t:200.17, r:5.00, y:6.80, ym:5.00, u:0.00, theta1:15.71, theta2:50.00, e:1.80
t:200.19, r:5.00, y:5.44, ym:5.00, u:0.00, theta1:15.71, theta2:50.00, e:0.44
t:200.21, r:5.00, y:4.35, ym:5.00, u:0.00, theta1:15.71, theta2:50.00, e:-0.65
t:200.23, r:5.00, y:3.48, ym:5.00, u:0.00, theta1:15.72, theta2:49.99, e:-1.52
t:200.25, r:5.00, y:2.79, ym:5.00, u:0.00, theta1:15.73, theta2:49.99, e:-2.21
t:200.27, r:5.00, y:2.23, ym:5.00, u:0.00, theta1:15.74, theta2:49.98, e:-2.77
t:200.29, r:5.00, y:1.78, ym:5.00, u:0.00, theta1:15.76, theta2:49.97, e:-3.22
t:200.31, r:5.00, y:1.43, ym:5.00, u:7.54, theta1:15.78, theta2:49.97, e:-3.57
t:200.33, r:5.00, y:1.14, ym:5.00, u:21.88, theta1:15.80, theta2:49.96, e:-3.86
t:200.35, r:5.00, y:0.91, ym:5.00, u:33.39, theta1:15.82, theta2:49.96, e:-4.09
t:200.37, r:5.00, y:0.73, ym:5.00, u:42.61, theta1:15.84, theta2:49.96, e:-4.27
t:200.39, r:5.00, y:0.58, ym:5.00, u:50.01, theta1:15.86, theta2:49.95, e:-4.42
t:200.41, r:5.00, y:0.47, ym:5.00, u:55.96, theta1:15.88, theta2:49.95, e:-4.53
t:200.43, r:5.00, y:0.51, ym:5.00, u:53.96, theta1:15.91, theta2:49.95, e:-4.49
t:200.45, r:5.00, y:0.54, ym:5.00, u:52.38, theta1:15.93, theta2:49.95, e:-4.46
t:200.47, r:5.00, y:0.57, ym:5.00, u:51.14, theta1:15.95, theta2:49.95, e:-4.43
t:200.49, r:5.00, y:0.59, ym:5.00, u:50.17, theta1:15.97, theta2:49.94, e:-4.41
t:200.51, r:5.00, y:2.09, ym:5.00, u:0.00, theta1:15.99, theta2:49.94, e:-2.91
t:200.53, r:5.00, y:3.29, ym:5.00, u:0.00, theta1:16.00, theta2:49.93, e:-1.71
t:200.55, r:5.00, y:4.24, ym:5.00, u:0.00, theta1:16.00, theta2:49.93, e:-0.76
t:200.57, r:5.00, y:5.01, ym:5.00, u:0.00, theta1:16.00, theta2:49.93, e:0.01
t:200.59, r:5.00, y:5.62, ym:5.00, u:0.00, theta1:16.00, theta2:49.93, e:0.62
t:200.61, r:5.00, y:6.11, ym:5.00, u:0.00, theta1:15.99, theta2:49.94, e:1.11
t:200.63, r:5.00, y:6.50, ym:5.00, u:0.00, theta1:15.98, theta2:49.95, e:1.50
t:200.65, r:5.00, y:6.82, ym:5.00, u:0.00, theta1:15.97, theta2:49.96, e:1.82
t:200.67, r:5.00, y:7.07, ym:5.00, u:0.00, theta1:15.96, theta2:49.98, e:2.07
t:200.69, r:5.00, y:7.27, ym:5.00, u:0.00, theta1:15.95, theta2:49.99, e:2.27
t:200.71, r:5.00, y:7.43, ym:5.00, u:0.00, theta1:15.94, theta2:50.00, e:2.43
t:200.73, r:5.00, y:7.56, ym:5.00, u:0.00, theta1:15.93, theta2:50.00, e:2.56
t:200.75, r:5.00, y:7.66, ym:5.00, u:0.00, theta1:15.91, theta2:50.00, e:2.66
t:200.77, r:5.00, y:7.74, ym:5.00, u:0.00, theta1:15.90, theta2:50.00, e:2.74
t:200.79, r:5.00, y:7.81, ym:5.00, u:0.00, theta1:15.89, theta2:50.00, e:2.81
t:200.81, r:5.00, y:7.86, ym:5.00, u:0.00, theta1:15.87, theta2:50.00, e:2.86
t:200.83, r:5.00, y:7.90, ym:5.00, u:0.00, theta1:15.86, theta2:50.00, e:2.90
t:200.85, r:5.00, y:7.94, ym:5.00, u:0.00, theta1:15.84, theta2:50.00, e:2.94
t:200.87, r:5.00, y:7.97, ym:5.00, u:0.00, theta1:15.83, theta2:50.00, e:2.97
t:200.89, r:5.00, y:7.99, ym:5.00, u:0.00, theta1:15.81, theta2:50.00, e:2.99
t:200.91, r:5.00, y:8.00, ym:5.00, u:0.00, theta1:15.80, theta2:50.00, e:3.00
t:200.93, r:5.00, y:8.02, ym:5.00, u:0.00, theta1:15.78, theta2:50.00, e:3.02
t:200.95, r:5.00, y:8.03, ym:5.00, u:0.00, theta1:15.77, theta2:50.00, e:3.03
t:200.97, r:5.00, y:8.04, ym:5.00, u:0.00, theta1:15.75, theta2:50.00, e:3.04
t:200.99, r:5.00, y:8.04, ym:5.00, u:0.00, theta1:15.74, theta2:50.00, e:3.04
t:201.01, r:5.00, y:6.44, ym:5.00, u:0.00, theta1:15.73, theta2:50.00, e:1.44
