t:0.61, r:25.00, omega:27.91, omega_m:25.00, u:415.26, theta1:17.148, theta2:0.481, e:2.910
t:0.62, r:25.00, omega:29.46, omega_m:25.00, u:414.17, theta1:17.142, theta2:0.488, e:4.457
t:0.63, r:25.00, omega:29.46, omega_m:25.00, u:413.82, theta1:17.135, theta2:0.494, e:4.457
t:0.64, r:25.00, omega:30.55, omega_m:25.00, u:412.82, theta1:17.127, theta2:0.503, e:5.552
t:0.65, r:25.00, omega:30.55, omega_m:25.00, u:412.36, theta1:17.119, theta2:0.511, e:5.552
t:0.66, r:25.00, omega:30.08, omega_m:25.00, u:412.20, theta1:17.112, theta2:0.519, e:5.078
t:0.67, r:25.00, omega:30.08, omega_m:25.00, u:411.79, theta1:17.105, theta2:0.527, e:5.078
t:0.68, r:25.00, omega:27.85, omega_m:25.00, u:412.75, theta1:17.101, theta2:0.531, e:2.845
t:0.69, r:25.00, omega:30.09, omega_m:25.00, u:411.15, theta1:17.094, theta2:0.538, e:5.094
t:0.70, r:25.00, omega:30.09, omega_m:25.00, u:410.74, theta1:17.087, theta2:0.546, e:5.094
t:0.71, r:25.00, omega:29.89, omega_m:25.00, u:410.46, theta1:17.080, theta2:0.553, e:4.893
t:0.72, r:25.00, omega:29.89, omega_m:25.00, u:410.07, theta1:17.073, theta2:0.560, e:4.893
t:0.73, r:25.00, omega:28.33, omega_m:25.00, u:410.69, theta1:17.068, theta2:0.565, e:3.330
t:0.74, r:25.00, omega:28.33, omega_m:25.00, u:410.44, theta1:17.063, theta2:0.570, e:3.330
t:0.75, r:25.00, omega:28.51, omega_m:25.00, u:410.07, theta1:17.058, theta2:0.575, e:3.511
t:0.76, r:25.00, omega:28.51, omega_m:25.00, u:409.80, theta1:17.053, theta2:0.580, e:3.511
t:0.77, r:25.00, omega:32.16, omega_m:25.00, u:407.06, theta1:17.043, theta2:0.591, e:7.164
t:0.78, r:25.00, omega:27.55, omega_m:25.00, u:409.60, theta1:17.039, theta2:0.595, e:2.551
t:0.79, r:25.00, omega:27.55, omega_m:25.00, u:409.41, theta1:17.036, theta2:0.598, e:2.551
t:0.80, r:25.00, omega:29.93, omega_m:25.00, u:407.60, theta1:17.029, theta2:0.606, e:4.925
t:0.81, r:25.00, omega:29.93, omega_m:25.00, u:407.20, theta1:17.022, theta2:0.613, e:4.925
t:0.82, r:25.00, omega:28.72, omega_m:25.00, u:407.66, theta1:17.016, theta2:0.618, e:3.722
t:0.83, r:25.00, omega:28.72, omega_m:25.00, u:407.37, theta1:17.011, theta2:0.624, e:3.722
t:0.84, r:25.00, omega:27.41, omega_m:25.00, u:408.01, theta1:17.008, theta2:0.627, e:2.415
