t:5.61, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:18.012, theta2:2.987, e:-0.000
t:5.62, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:18.012, theta2:2.987, e:-0.000
t:5.63, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:18.012, theta2:2.987, e:-0.000
t:5.64, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:18.012, theta2:2.987, e:-0.000
t:5.65, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:18.012, theta2:2.987, e:-0.000
t:5.66, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:18.012, theta2:2.987, e:-0.000
t:5.67, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:18.012, theta2:2.987, e:-0.000
t:5.68, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:18.012, theta2:2.987, e:-0.000
t:5.69, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:18.012, theta2:2.987, e:-0.000
t:5.70, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:18.012, theta2:2.987, e:-0.000
t:5.71, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:18.012, theta2:2.987, e:-0.000
t:5.72, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:18.012, theta2:2.987, e:-0.000
t:5.73, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:18.012, theta2:2.987, e:-0.000
t:5.74, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:18.012, theta2:2.987, e:-0.000
t:5.75, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:18.012, theta2:2.987, e:-0.000
t:5.76, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:18.012, theta2:2.987, e:-0.000
t:5.77, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:18.012, theta2:2.987, e:-0.000
t:5.78, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:18.012, theta2:2.987, e:-0.000
t:5.79, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:18.012, theta2:2.987, e:-0.000
t:5.80, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:18.012, theta2:2.987, e:-0.000
t:5.81, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:18.012, theta2:2.987, e:-0.000
t:5.82, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:18.012, theta2:2.987, e:-0.000
t:5.83, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:18.012, theta2:2.987, e:-0.000
t:5.84, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:18.012, theta2:2.987, e:-0.000
t:5.85, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:18.012, theta2:2.987, e:-0.000
t:5.86, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:18.012, theta2:2.987, e:-0.000
t:5.87, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:18.012, theta2:2.987, e:-0.000
t:5.88, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:18.012, theta2:2.987, e:-0.000
t:5.89, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:18.012, theta2:2.987, e:-0.000
t:5.90, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:18.012, theta2:2.987, e:-0.000
t:5.91, r:0.00, omega:0.00, omega_m:0.00, u:0.00, theta1:18.012, theta2:2.987, e:-0.000
