t,v_ref,w_ref,v,w,u_L,u_R,omega_L,omega_R,w_L,w_R,theta1_L,theta2_L,theta1_R,theta2_R,e_L,e_R
14564134,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,15.03,0.00,15.03,0.00,0.00,0.00
14574375,0.35,2.50,0.00,-0.01,11.49,21.07,0.00,0.00,172.70,317.03,15.04,0.00,15.05,0.00,-7.26,-13.32
14584788,0.35,2.50,0.00,0.10,11.49,21.07,0.00,0.00,172.75,317.38,15.04,0.00,15.06,0.00,-9.93,-18.22
14595006,0.35,2.50,0.00,0.79,11.49,21.07,0.00,0.00,172.81,317.76,15.05,0.00,15.08,0.00,-10.91,-20.02
14605237,0.35,2.50,0.00,1.24,11.49,21.07,0.00,0.00,172.86,318.15,15.05,0.00,15.10,0.00,-11.28,-20.69
14615607,0.35,2.50,0.00,1.56,11.49,21.07,0.00,0.04,172.92,318.55,15.06,0.00,15.12,0.00,-11.41,-20.89
14625812,0.35,2.50,0.00,1.90,11.49,21.07,0.00,0.04,172.97,318.95,15.06,0.00,15.14,0.00,-11.46,-20.98
14636240,0.35,2.50,0.00,1.69,11.49,21.07,0.04,0.04,173.03,319.35,15.06,0.00,15.16,0.00,-11.44,-21.02
14646627,0.35,2.50,0.18,1.43,11.49,21.07,0.04,16.81,173.08,319.43,15.07,0.00,15.16,0.00,-11.45,-4.26
14656825,0.35,2.50,0.18,1.05,11.49,21.07,0.04,16.81,173.14,319.51,15.07,0.00,15.16,0.00,-11.45,-4.26
14677268,0.35,2.50,0.19,1.25,11.49,21.07,0.04,17.64,173.25,319.66,15.08,0.00,15.17,0.00,-11.45,-3.43
14687507,0.35,2.50,0.19,1.42,11.49,21.07,0.00,17.64,173.31,319.72,15.09,0.00,15.17,0.00,-11.49,-3.43
14697699,0.35,2.50,0.19,1.53,11.49,21.07,0.00,17.64,173.36,319.79,15.09,0.00,15.18,0.00,-11.49,-3.43
14707983,0.35,2.50,0.27,1.65,11.49,21.07,7.60,17.84,173.38,319.85,15.10,0.00,15.18,0.00,-3.88,-3.23
14749016,0.35,2.50,0.28,2.42,11.49,21.07,7.60,18.27,173.46,320.08,15.10,0.00,15.19,0.00,-3.88,-2.81
14759573,0.35,2.50,0.21,2.41,11.49,21.07,0.00,19.25,173.51,320.13,15.11,0.00,15.19,0.00,-11.49,-2.81
14769866,0.35,2.50,0.30,2.71,11.49,21.07,8.67,19.25,173.53,320.17,15.11,0.00,15.19,0.00,-2.81,-1.82
