t,v_ref,w_ref,v,w,omega_L,omega_R,u_L,u_R,w_L,w_R,theta1_L,theta2_L,theta1_R,theta2_R,e_L,e_R
6416787,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,15.03,0.00,15.03,0.00,0.00,0.00
6449224,0.30,0.00,0.00,-0.14,0.00,0.00,13.95,13.95,0.00,0.00,15.05,0.00,15.05,0.00,-12.06,-12.06
6481747,0.30,0.00,0.00,-0.54,0.00,0.08,13.95,13.95,0.00,0.08,15.06,0.00,15.06,-0.00,-13.70,-13.62
6514268,0.30,0.00,0.00,-1.00,0.08,0.08,13.95,13.95,0.08,0.08,15.07,-0.00,15.07,-0.00,-13.84,-13.84
6536378,0.30,0.00,0.10,-0.69,0.08,9.16,13.95,13.95,0.08,9.16,15.08,-0.00,15.08,-0.00,-13.86,-4.78
6566020,0.30,0.00,0.21,-0.44,9.96,9.16,13.95,13.95,9.96,9.16,15.09,-0.00,15.08,-0.01,-3.99,-4.80
6598643,0.30,0.00,0.24,-0.30,11.96,10.46,13.95,13.95,11.96,10.46,15.09,-0.01,15.09,-0.01,-2.00,-3.50
6631314,0.30,0.00,0.26,-0.29,12.91,11.55,13.95,13.95,12.91,11.55,15.09,-0.01,15.09,-0.01,-1.05,-2.40
6663804,0.30,0.00,0.28,-0.19,12.91,12.73,13.95,13.95,12.91,12.73,15.09,-0.01,15.09,-0.02,-1.05,-1.23
6683027,0.30,0.00,0.28,-0.08,13.34,12.73,13.95,13.95,13.34,12.73,15.09,-0.01,15.09,-0.02,-0.61,-1.23
6712766,0.30,0.00,0.29,-0.19,13.66,12.94,13.95,13.95,13.66,12.94,15.09,-0.01,15.09,-0.02,-0.29,-1.01
6732040,0.30,0.00,0.29,-0.17,13.66,12.94,13.95,13.95,13.66,12.94,15.09,-0.01,15.09,-0.02,-0.29,-1.01
6761788,0.30,0.00,0.29,-0.34,14.02,13.34,13.95,13.95,14.02,13.34,15.09,-0.01,15.09,-0.02,0.07,-0.61
6781152,0.30,0.00,0.30,-0.10,14.09,13.37,13.95,13.95,14.02,13.37,15.09,-0.01,15.10,-0.02,0.07,-0.58
6810835,0.30,0.00,0.30,-0.27,14.09,13.37,13.95,13.95,14.09,13.37,15.09,-0.01,15.10,-0.02,0.14,-0.58
6843534,0.30,0.00,0.30,-0.25,14.19,13.85,13.95,13.95,14.19,13.85,15.09,-0.01,15.10,-0.02,0.23,-0.11
6876124,0.30,0.00,0.29,-0.11,13.62,13.40,13.95,13.95,13.62,13.40,15.09,-0.01,15.10,-0.02,-0.33,-0.56
6908787,0.30,0.00,0.30,-0.07,14.20,13.63,13.95,13.95,14.20,13.63,15.09,-0.01,15.10,-0.02,0.24,-0.32
6928215,0.30,0.00,0.30,-0.13,14.20,13.63,13.95,13.95,14.20,13.63,15.09,-0.01,15.10,-0.02,0.24,-0.32
6957936,0.30,0.00,0.29,-0.13,13.46,13.49,13.95,13.95,13.46,13.49,15.09,-0.01,15.10,-0.02,-0.49,-0.47
6990497,0.30,0.00,0.30,-0.30,14.17,13.38,13.95,13.95,14.17,13.38,15.09,-0.01,15.10,-0.02,0.21,-0.58
7023124,0.30,0.00,0.30,0.04,14.13,13.86,13.95,13.95,14.13,13.86,15.09,-0.01,15.10,-0.02,0.17,-0.09
7055780,0.30,0.00,0.29,0.08,13.91,13.45,13.95,13.95,13.91,13.45,15.09,-0.01,15.10,-0.02,-0.04,-0.50
7088319,0.30,0.00,0.29,0.17,13.77,13.12,13.95,13.95,13.77,13.12,15.09,-0.01,15.10,-0.03,-0.18,-0.83
7120847,0.30,0.00,0.29,-0.34,13.91,13.12,13.95,13.95,13.91,13.12,15.09,-0.01,15.10,-0.03,-0.04,-0.83
7153575,0.00,0.00,0.30,-0.34,13.91,13.96,0.00,0.00,13.91,13.96,15.09,-0.01,15.10,-0.02,8.78,8.83
7175659,0.00,0.00,0.28,-0.13,13.26,13.03,0.00,0.00,13.26,13.03,15.09,0.00,15.10,-0.01,11.37,11.14
7205414,0.00,0.00,0.28,0.36,13.26,13.03,0.00,0.00,13.26,13.03,15.09,0.02,15.09,0.00,13.01,12.77
7227265,0.00,0.00,0.28,0.78,13.26,13.03,0.00,0.00,13.26,13.03,15.08,0.03,15.09,0.01,13.17,12.93
7256879,0.00,0.00,0.28,0.12,13.26,13.03,0.00,0.00,13.26,13.03,15.08,0.05,15.09,0.03,13.25,13.01
7278748,0.00,0.00,0.28,0.62,13.26,13.03,0.00,0.00,13.26,13.03,15.08,0.05,15.09,0.04,13.26,13.02
7308415,0.00,0.00,0.28,0.71,13.26,13.03,0.00,0.00,13.26,13.03,15.07,0.07,15.08,0.05,13.26,13.03
7330294,0.00,0.00,0.28,0.34,13.26,13.03,0.00,0.00,13.26,13.03,15.07,0.08,15.08,0.06,13.26,13.03
7359960,0.00,0.00,0.28,-0.04,13.26,13.03,0.00,0.00,13.26,13.03,15.07,0.10,15.08,0.08,13.26,13.03
7381832,0.00,0.00,0.28,0.13,13.26,13.03,0.00,0.00,13.26,13.03,15.07,0.11,15.07,0.09,13.26,13.03
7411515,0.00,0.00,0.28,0.21,13.26,13.03,0.00,0.00,13.26,13.03,15.06,0.12,15.07,0.10,13.26,13.03
7433370,0.00,0.00,0.28,-0.01,13.26,13.03,0.00,0.00,13.26,13.03,15.06,0.13,15.07,0.11,13.26,13.03
7463115,-0.30,0.00,0.28,-0.03,13.26,13.03,-13.95,-13.95,13.26,13.03,15.09,0.16,15.09,0.14,25.33,25.09
7495857,-0.30,0.00,-0.04,0.53,-1.66,-1.70,-13.95,-13.95,-1.66,-1.70,15.10,0.16,15.11,0.14,12.04,11.99
