t,v_ref,w_ref,v,w,u_L,u_R,omega_L,omega_R,w_L,w_R,theta1_L,theta2_L,theta1_R,theta2_R,e_L,e_R
11398862,0.00,5.00,0.00,-0.01,-9.59,9.59,0.00,0.00,0.00,0.00,15.03,0.00,15.03,0.00,0.00,0.00
11409239,0.00,5.00,0.00,-0.01,-9.59,9.59,0.00,0.00,-144.18,144.18,15.03,0.00,15.04,0.00,6.06,-6.06
11419506,0.00,5.00,0.00,0.17,-9.59,9.59,0.00,0.00,-144.20,144.21,15.04,0.00,15.04,0.00,8.29,-8.29
11429735,0.00,5.00,0.00,0.62,-9.59,9.59,0.00,0.00,-144.23,144.24,15.04,0.00,15.04,0.00,9.11,-9.11
11439944,0.00,5.00,0.00,1.60,-9.59,9.59,0.00,0.00,-144.26,144.27,15.04,0.00,15.04,0.00,9.41,-9.41
11450143,0.00,5.00,0.00,2.35,-9.59,9.59,0.00,0.00,-144.29,144.30,15.05,0.00,15.05,0.00,9.52,-9.52
11460657,0.00,5.00,0.00,2.80,-9.59,9.59,0.00,0.05,-144.32,144.33,15.05,0.00,15.05,0.00,9.57,-9.57
11470869,0.00,5.00,0.00,3.23,-9.59,9.59,0.00,0.05,-144.35,144.36,15.05,0.00,15.05,0.00,9.58,-9.53
11481064,0.00,5.00,0.00,3.67,-9.59,9.59,0.00,0.05,-144.38,144.39,15.06,0.00,15.06,0.00,9.59,-9.54
11491270,0.00,5.00,0.00,3.84,-9.59,9.59,0.00,0.05,-144.41,144.42,15.06,0.00,15.06,0.00,9.59,-9.54
11501490,0.00,5.00,0.00,4.08,-9.59,9.59,0.00,0.05,-144.44,144.45,15.06,0.00,15.06,0.00,9.59,-9.54
11522048,0.00,5.00,-0.00,4.50,-9.59,9.59,-0.05,0.00,-144.50,144.51,15.07,0.00,15.07,0.00,9.54,-9.59
11532322,0.00,5.00,-0.00,4.67,-9.59,9.59,-0.05,0.00,-144.53,144.54,15.07,0.00,15.07,0.00,9.54,-9.59
11542594,0.00,5.00,0.07,4.87,-9.59,9.59,-0.05,6.97,-144.56,144.55,15.08,0.00,15.07,0.00,9.54,-2.62
11552788,0.00,5.00,0.07,5.00,-9.59,9.59,-0.05,6.97,-144.60,144.56,15.08,0.00,15.07,0.00,9.54,-2.62
11604076,0.00,5.00,-0.01,4.70,-9.59,9.59,-9.48,8.32,-144.63,144.62,15.08,-0.00,15.08,0.00,0.11,-1.27
11614612,0.00,5.00,-0.02,4.61,-9.59,9.59,-9.84,8.32,-144.63,144.62,15.08,-0.00,15.08,0.00,0.11,-1.27
11624840,0.00,5.00,-0.02,4.76,-9.59,9.59,-9.84,8.32,-144.62,144.62,15.08,0.00,15.08,0.00,-0.25,-1.27
11635022,0.00,5.00,-0.02,5.00,-9.59,9.59,-9.84,8.32,-144.62,144.63,15.08,0.00,15.08,0.00,-0.25,-1.27
11665797,0.00,5.00,0.11,4.50,-9.59,9.59,0.00,9.78,-144.61,144.66,15.08,0.00,15.09,0.00,-0.25,0.19
11676360,0.00,5.00,0.01,4.37,-9.59,9.59,-8.91,9.78,-144.65,144.66,15.08,0.00,15.09,0.00,9.59,0.19
11686612,0.00,5.00,0.01,4.22,-9.59,9.59,-8.91,9.78,-144.65,144.66,15.08,0.00,15.09,0.00,0.68,0.19
11696811,0.00,5.00,0.01,4.18,-9.59,9.59,-8.91,9.78,-144.65,144.65,15.08,-0.00,15.08,0.00,0.68,0.19
11748160,0.00,5.00,-0.02,4.83,-9.59,9.59,-9.56,7.99,-144.69,144.74,15.09,-0.00,15.09,-0.00,0.03,-1.60
11758369,0.00,5.00,-0.02,4.75,-9.59,9.59,-9.56,7.99,-144.69,144.74,15.09,-0.00,15.09,-0.00,0.03,-1.60
11768654,0.00,5.00,-0.10,4.91,-9.59,9.59,-9.56,0.00,-144.69,144.75,15.09,-0.00,15.09,-0.00,0.03,-1.60
11778975,0.00,5.00,-0.02,4.91,-9.59,9.59,-10.06,8.65,-144.69,144.77,15.09,-0.00,15.10,-0.00,0.03,-9.59
11819959,0.00,5.00,-0.02,4.78,-9.59,9.59,-10.06,8.65,-144.67,144.79,15.09,0.00,15.10,-0.00,-0.47,-0.94
11830402,0.00,5.00,-0.11,4.75,-9.59,9.59,-10.16,0.00,-144.66,144.79,15.09,0.00,15.10,-0.00,-0.47,-0.94
11840721,0.00,5.00,-0.02,4.57,-9.59,9.59,-10.16,8.57,-144.66,144.82,15.09,0.00,15.10,-0.00,-0.57,-9.59
