t,v_ref,w_ref,v,w,omega_L,omega_R,u_L,u_R,w_L,w_R,theta1_L,theta2_L,theta1_R,theta2_R,e_L,e_R
46712220,0.30,0.00,0.00,-0.00,0.00,0.00,25.97,25.99,0.00,0.00,17.01,2.58,15.58,2.49,0.00,0.00
46733075,0.30,0.00,0.00,-0.00,0.00,0.00,25.97,25.99,0.00,0.00,17.03,2.58,15.60,2.49,-16.42,-16.43
46754087,0.30,0.00,0.00,0.02,0.02,0.00,25.95,25.99,0.00,0.00,17.05,2.58,15.63,2.49,-22.46,-22.47
46785557,0.30,0.00,0.22,-0.40,20.13,0.02,16.35,17.22,20.13,0.02,17.08,2.58,15.67,2.49,0.72,-19.95
46806523,0.30,0.00,0.50,-0.56,21.81,24.30,3.96,5.91,20.13,24.30,17.08,2.59,15.66,2.50,2.65,6.07
46827514,0.30,0.00,0.41,-0.30,21.81,16.56,7.95,8.99,21.81,24.30,17.07,2.60,15.66,2.51,12.88,13.86
46859041,0.30,0.00,0.32,-0.23,13.63,16.56,11.81,12.60,13.63,16.56,17.07,2.61,15.65,2.52,3.11,5.09
46879906,0.30,0.00,0.32,-0.26,13.63,16.56,11.76,12.65,13.63,16.56,17.07,2.61,15.64,2.53,2.29,4.38
46900852,0.30,0.00,0.18,-0.34,8.76,8.43,15.27,16.56,13.63,8.43,17.06,2.61,15.65,2.53,2.03,-4.05
46932258,0.30,0.00,0.18,-0.01,8.76,8.43,18.12,18.15,8.76,8.43,17.07,2.60,15.66,2.52,-7.82,-8.59
46953196,0.30,0.00,0.22,-0.12,10.86,9.54,16.75,16.59,8.76,9.54,17.08,2.60,15.66,2.52,-8.79,-8.20
46974075,0.30,0.00,0.22,-0.02,10.86,9.54,16.58,16.76,10.86,9.54,17.08,2.59,15.67,2.51,-6.18,-7.47
46995178,0.30,0.00,0.34,-0.34,16.72,15.10,10.86,12.05,16.72,15.10,17.08,2.59,15.67,2.51,-0.03,-1.75
47026770,0.30,0.00,0.31,-0.08,14.70,13.94,12.76,13.06,14.70,13.94,17.08,2.60,15.67,2.51,1.84,0.60
47047632,0.30,0.00,0.31,-0.04,14.70,13.94,12.83,12.98,14.70,13.94,17.08,2.60,15.67,2.51,1.91,0.78
47068500,0.30,0.00,0.26,-0.07,12.17,12.37,14.65,14.92,12.17,12.37,17.08,2.60,15.67,2.51,-0.65,-0.68
47099939,0.30,0.00,0.26,-0.42,12.17,12.37,14.06,15.51,12.17,12.37,17.08,2.60,15.67,2.51,-1.86,-2.68
47120883,0.30,0.00,0.23,-0.37,10.97,10.13,15.70,17.00,10.97,10.13,17.08,2.60,15.67,2.51,-3.08,-5.21
47141745,0.30,0.00,0.23,-0.15,10.97,10.13,16.12,16.58,10.97,10.13,17.08,2.59,15.68,2.50,-4.12,-6.26
47173173,0.30,0.00,0.28,0.06,12.87,12.91,14.32,14.11,12.87,12.91,17.09,2.59,15.68,2.50,-1.97,-2.08
47194047,0.30,0.00,0.31,-0.11,14.08,14.44,12.78,13.15,14.08,14.44,17.09,2.59,15.68,2.50,-0.43,0.01
47214916,0.30,0.00,0.31,-0.07,14.08,14.44,12.85,13.08,14.08,14.44,17.09,2.59,15.68,2.50,0.67,0.82
47246445,0.30,0.00,0.30,-0.52,13.95,13.70,12.45,14.28,13.95,13.70,17.09,2.59,15.68,2.50,1.28,-0.21
47267373,0.30,0.00,0.28,-0.61,12.69,13.70,12.87,15.01,13.95,13.70,17.08,2.59,15.68,2.50,1.42,-0.45
47288377,0.30,0.00,0.25,-0.55,12.69,10.67,14.35,16.29,12.69,10.67,17.08,2.59,15.68,2.50,-0.05,-4.02
47319885,0.30,0.00,0.25,0.08,11.58,11.64,15.53,15.24,11.58,11.64,17.09,2.59,15.69,2.49,-3.30,-3.77
