t,v_ref,w_ref,v,w,omega_L,omega_R,u_L,u_R,w_L,w_R,theta1_L,theta2_L,theta1_R,theta2_R,e_L,e_R
23529361,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,15.03,0.00,15.03,0.00,0.00,0.00
23550164,0.30,0.00,0.00,-0.01,0.00,0.00,13.94,13.97,0.00,0.00,15.03,0.00,15.03,0.00,0.00,0.00
23581473,0.30,0.00,0.00,-0.03,0.00,0.00,13.88,14.03,0.00,0.00,15.04,0.00,15.05,0.00,-12.02,-12.11
23602231,0.30,0.00,0.00,-0.31,0.00,0.00,13.26,14.65,0.00,0.00,15.05,0.00,15.05,0.00,-13.20,-13.32
23623240,0.30,0.00,0.00,-0.52,0.02,0.02,12.50,15.40,0.02,0.00,15.06,-0.00,15.06,0.00,-13.21,-14.16
23644019,0.30,0.00,0.00,-0.49,0.02,0.02,12.70,15.21,0.02,0.02,15.06,-0.00,15.07,-0.00,-12.75,-14.92
23675505,0.30,0.00,0.21,-0.23,9.16,10.27,13.16,14.75,9.16,10.27,15.07,-0.00,15.08,-0.00,-3.84,-4.61
23696296,0.30,0.00,0.21,0.24,9.16,10.27,14.14,13.76,9.16,10.27,15.08,-0.00,15.08,-0.00,-3.94,-4.53
23717138,0.30,0.00,0.21,0.24,9.16,10.27,14.18,13.73,9.16,10.27,15.08,-0.01,15.09,-0.01,-4.60,-3.87
23737949,0.30,0.00,0.24,0.49,10.55,11.79,14.78,13.12,10.55,11.79,15.08,-0.01,15.09,-0.01,-3.48,-2.09
23769469,0.30,0.00,0.26,0.14,11.88,12.69,14.10,13.80,11.88,12.69,15.08,-0.01,15.09,-0.01,-2.37,-0.97
23790164,0.30,0.00,0.26,0.07,11.88,12.69,13.97,13.93,11.88,12.69,15.08,-0.01,15.09,-0.01,-2.28,-1.06
23810892,0.30,0.00,0.28,0.27,13.39,12.84,14.44,13.47,11.88,12.84,15.09,-0.01,15.09,-0.01,-2.16,-1.03
23842361,0.30,0.00,0.28,-0.28,13.39,12.94,13.46,14.44,13.39,12.94,15.09,-0.01,15.09,-0.01,-0.38,-1.19
23863267,0.30,0.00,0.28,-0.13,13.36,12.94,13.57,14.33,13.36,12.94,15.09,-0.01,15.09,-0.01,-0.22,-1.39
23884058,0.30,0.00,0.29,0.25,13.36,13.60,14.39,13.52,13.36,13.60,15.09,-0.01,15.09,-0.01,-0.22,-0.73
