t,v_ref,w_ref,v,w,omega_L,omega_R,u_L,u_R,w_L,w_R,theta1_L,theta2_L,theta1_R,theta2_R,e_L,e_R
6777932,0.30,0.00,0.00,-0.01,0.00,0.00,25.97,25.99,0.00,0.00,15.03,0.00,14.98,0.37,0.00,0.00
6798762,0.30,0.00,0.00,-0.01,0.00,0.00,25.97,25.99,0.00,0.00,15.05,0.00,14.99,0.37,-16.42,-16.43
6830161,0.30,0.00,0.00,-0.04,0.00,0.00,25.90,26.06,0.00,0.00,15.11,0.00,15.05,0.37,-24.63,-24.74
6851062,0.30,0.00,0.00,0.53,0.08,0.08,26.84,24.98,0.08,0.08,15.14,-0.00,15.08,0.37,-25.36,-25.49
6871935,0.30,0.00,0.46,0.49,20.61,21.97,7.41,5.69,20.61,21.97,15.14,-0.01,15.08,0.36,-5.71,-3.23
6892760,0.30,0.00,0.51,0.39,23.87,23.66,4.97,3.61,23.87,23.66,15.14,0.01,15.08,0.38,9.51,10.80
6924224,0.30,0.00,0.37,-0.15,16.11,18.20,10.05,10.59,16.11,18.20,15.13,0.03,15.07,0.40,6.66,8.93
6945093,0.30,0.00,0.37,-0.55,16.11,18.20,9.31,11.33,16.11,18.20,15.12,0.03,15.06,0.41,6.28,8.10
6965912,0.30,0.00,0.37,-0.20,16.11,18.20,9.62,11.02,16.11,18.20,15.12,0.04,15.06,0.42,6.61,7.32
6997389,0.30,0.00,0.18,0.17,8.47,7.91,18.81,18.20,8.47,7.91,15.12,0.04,15.06,0.42,-6.94,-7.63
7018143,0.30,0.00,0.18,0.20,8.47,7.91,18.86,18.15,8.47,7.91,15.13,0.04,15.06,0.42,-9.09,-9.31
7038940,0.30,0.00,0.24,0.25,10.73,11.37,16.32,15.46,10.73,11.37,15.13,0.03,15.07,0.41,-7.65,-6.43
7060045,0.30,0.00,0.29,0.26,10.73,16.54,13.99,13.08,10.73,11.37,15.14,0.03,15.07,0.41,-6.35,-4.95
7091592,0.30,0.00,0.36,-0.30,16.77,16.54,10.25,11.31,16.77,16.54,15.13,0.04,15.07,0.42,4.73,4.14
7112641,0.30,0.00,0.32,-0.26,15.21,14.98,11.75,12.65,15.21,14.98,15.13,0.04,15.06,0.42,4.30,3.28
