t,v_ref,w_ref,v,w,u_L,u_R,omega_L,omega_R,w_L,w_R,theta1_L,theta2_L,theta1_R,theta2_R,e_L,e_R
9631026,0.40,0.00,0.00,-0.01,18.60,18.60,0.00,0.00,0.00,0.00,15.03,0.00,15.03,0.00,0.00,0.00
9641449,0.40,0.00,0.00,-0.01,18.60,18.60,0.00,0.00,279.85,279.85,15.04,0.00,15.04,0.00,-11.76,-11.76
9651680,0.40,0.00,0.00,-0.02,18.60,18.60,0.00,0.00,280.08,280.08,15.06,0.00,15.06,0.00,-16.09,-16.09
9662328,0.40,0.00,0.00,-0.17,18.60,18.60,0.00,0.05,280.34,280.34,15.07,0.00,15.07,0.00,-17.68,-17.68
9672558,0.40,0.00,0.00,-0.14,18.60,18.60,0.00,0.05,280.60,280.60,15.08,0.00,15.08,0.00,-18.26,-18.21
9682764,0.40,0.00,0.00,0.12,18.60,18.60,0.00,0.05,280.87,280.87,15.10,0.00,15.10,0.00,-18.48,-18.42
9693170,0.40,0.00,0.00,0.40,18.60,18.60,0.05,0.05,281.14,281.14,15.11,0.00,15.11,0.00,-18.56,-18.50
9703497,0.40,0.00,0.15,0.29,18.60,18.60,0.05,14.14,281.41,281.20,15.13,0.00,15.12,0.00,-18.53,-4.45
9713686,0.40,0.00,0.15,0.08,18.60,18.60,0.05,14.14,281.68,281.27,15.14,0.00,15.12,0.00,-18.54,-4.46
9724086,0.40,0.00,0.34,-0.08,18.60,18.60,17.87,14.14,281.95,281.33,15.16,0.00,15.12,0.00,-18.55,-4.47
9734390,0.40,0.00,0.39,-0.05,18.60,18.60,17.87,18.77,281.96,281.33,15.16,0.00,15.12,0.00,-0.73,0.16
9754963,0.40,0.00,0.38,-0.62,18.60,18.60,16.92,18.77,281.98,281.31,15.16,0.00,15.12,0.00,-0.73,0.16
9765404,0.40,0.00,0.37,-0.68,18.60,18.60,16.92,17.25,282.00,281.35,15.16,0.00,15.12,-0.00,-1.69,-1.35
9775614,0.40,0.00,0.37,-0.56,18.60,18.60,16.92,17.25,282.03,281.37,15.16,0.00,15.12,-0.00,-1.69,-1.35
9785958,0.40,0.00,0.37,-0.70,18.60,18.60,16.98,17.25,282.05,281.39,15.16,0.00,15.13,-0.00,-1.69,-1.35
9826995,0.40,0.00,0.36,0.04,18.60,18.60,17.49,16.14,282.14,281.52,15.17,0.00,15.13,-0.00,-1.11,-2.47
9837184,0.40,0.00,0.36,0.39,18.60,18.60,17.49,16.14,282.15,281.55,15.17,0.00,15.13,-0.00,-1.11,-2.47
9847760,0.40,0.00,0.37,0.08,18.60,18.60,17.87,16.14,282.16,281.59,15.17,0.00,15.14,-0.00,-0.73,-2.47
9858216,0.40,0.00,0.39,-0.13,18.60,18.60,17.87,18.39,282.17,281.59,15.17,0.00,15.14,-0.00,-0.73,-0.21
9909608,0.40,0.00,0.42,-0.75,18.60,18.60,19.16,19.49,282.17,281.56,15.17,0.00,15.14,0.00,0.56,0.89
