t,v_ref,w_ref,v,w,u_L,u_R,omega_L,omega_R,w_L,w_R,theta1_L,theta2_L,theta1_R,theta2_R,e_L,e_R
13485900,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,15.03,0.00,15.03,0.00,0.00,0.00
13496391,0.30,0.00,0.00,-0.01,13.95,13.95,0.00,0.00,0.00,0.00,15.03,0.00,15.03,0.00,0.00,0.00
13506763,0.30,0.00,0.00,-0.01,13.95,13.95,0.00,0.00,209.81,209.84,15.04,0.00,15.04,0.00,-8.82,-8.82
13516980,0.30,0.00,0.00,-0.01,13.95,13.95,0.00,0.00,209.90,209.93,15.04,0.00,15.05,0.00,-12.06,-12.06
13527623,0.30,0.00,0.00,-0.14,13.95,13.95,0.05,0.04,210.00,210.03,15.05,0.00,15.05,0.00,-13.21,-13.22
13537822,0.30,0.00,0.00,-0.22,13.95,13.95,0.05,0.04,210.11,210.13,15.06,0.00,15.06,0.00,-13.64,-13.66
13548019,0.30,0.00,0.00,0.04,13.95,13.95,0.05,0.04,210.21,210.24,15.07,0.00,15.07,0.00,-13.81,-13.82
13558228,0.30,0.00,0.00,-0.26,13.95,13.95,0.05,0.04,210.32,210.35,15.07,0.00,15.07,0.00,-13.87,-13.88
13568451,0.30,0.00,0.00,-0.58,13.95,13.95,0.05,0.04,210.43,210.45,15.08,0.00,15.08,0.00,-13.89,-13.90
13578880,0.30,0.00,0.10,-0.93,13.95,13.95,0.00,9.58,210.53,210.56,15.09,0.00,15.09,0.00,-13.95,-13.95
13589091,0.30,0.00,0.20,-1.14,13.95,13.95,8.76,9.58,210.59,210.59,15.09,-0.00,15.09,0.00,-5.20,-4.37
13619720,0.30,0.00,0.20,-0.57,13.95,13.95,8.76,9.58,210.71,210.69,15.10,-0.00,15.10,0.00,-5.20,-4.37
13630124,0.30,0.00,0.24,-0.95,13.95,13.95,11.20,11.28,210.73,210.71,15.10,-0.00,15.10,0.00,-2.75,-2.68
13640350,0.30,0.00,0.24,-0.74,13.95,13.95,11.20,11.28,210.75,210.73,15.10,-0.00,15.10,0.00,-2.75,-2.68
13650579,0.30,0.00,0.24,-0.26,13.95,13.95,11.20,11.28,210.77,210.75,15.10,-0.00,15.10,0.00,-2.75,-2.68
13691672,0.30,0.00,0.27,-0.44,13.95,13.95,12.90,11.78,210.82,210.83,15.11,-0.00,15.11,0.00,-1.05,-2.17
13701909,0.39,0.00,0.27,-0.22,18.31,18.31,12.90,11.78,276.62,276.65,15.11,-0.00,15.11,0.00,-3.80,-4.92
13712537,0.39,0.00,0.28,-0.23,18.31,18.31,13.66,12.69,276.68,276.73,15.11,-0.00,15.12,0.00,-4.06,-5.93
13722770,0.39,0.00,0.28,-0.71,18.31,18.31,13.66,12.69,276.74,276.81,15.12,-0.00,15.12,0.00,-4.43,-5.40
13763889,0.48,0.00,0.34,-0.36,22.19,22.19,15.70,16.00,276.92,277.03,15.13,-0.00,15.13,0.00,-2.61,-2.30
13774578,0.48,0.00,0.37,0.02,22.19,22.19,17.90,16.79,335.73,335.91,15.13,-0.00,15.14,0.00,-2.86,-4.76
13784814,0.48,0.00,0.37,0.22,22.19,22.19,17.90,16.79,335.81,336.01,15.13,-0.00,15.14,0.00,-3.76,-4.87
13795082,0.48,0.00,0.39,-0.28,22.19,22.19,19.42,16.79,335.90,336.12,15.14,-0.00,15.15,0.00,-4.09,-5.20
13836192,0.48,0.00,0.48,-0.34,22.19,22.19,21.79,22.85,336.04,336.35,15.14,-0.00,15.16,0.00,-0.40,0.66
13846550,0.48,0.00,0.48,-0.60,22.19,22.19,22.24,22.85,336.03,336.31,15.14,-0.00,15.16,0.00,0.05,0.66
13856998,0.48,0.00,0.48,-0.31,22.19,22.19,22.24,22.01,336.03,336.32,15.14,-0.00,15.16,0.00,0.05,-0.18
13867297,0.48,0.00,0.49,-0.51,22.19,22.19,23.34,22.01,336.03,336.33,15.14,-0.00,15.16,0.00,0.05,-0.18
13919131,0.54,0.00,0.50,0.41,25.27,25.27,23.27,22.84,335.76,336.02,15.14,0.00,15.15,0.01,1.08,1.62
13929614,0.54,0.00,0.50,0.46,25.27,25.27,23.27,22.84,382.38,382.72,15.14,0.00,15.15,0.01,-0.87,-1.29
13940119,0.54,0.00,0.51,0.23,25.27,25.27,24.04,23.23,382.43,382.83,15.14,0.00,15.16,0.00,-0.81,-2.01
13950350,0.54,0.00,0.51,0.31,25.27,25.27,24.04,23.23,382.49,382.93,15.14,0.00,15.16,0.00,-1.07,-1.88
13991558,0.54,0.00,0.55,-0.28,25.27,25.27,25.50,25.54,382.61,382.95,15.14,-0.00,15.16,0.00,0.24,0.28
14002052,0.54,0.00,0.57,-0.00,25.27,25.27,25.92,26.65,382.57,382.93,15.14,0.00,15.16,0.00,0.65,0.27
14012273,0.54,0.00,0.57,-0.08,25.27,25.27,25.92,26.65,382.52,382.83,15.14,0.00,15.16,0.00,0.65,1.38
14022724,0.54,0.00,0.56,0.03,25.27,25.27,26.27,26.08,382.45,382.73,15.14,0.00,15.15,0.01,1.00,1.38
14064042,0.59,0.00,0.60,0.25,27.24,27.24,27.26,28.19,382.12,382.30,15.13,0.01,15.15,0.01,2.00,2.92
14074630,0.59,0.00,0.59,0.04,27.24,27.24,26.62,28.19,411.87,412.00,15.13,0.01,15.14,0.02,0.75,1.67
14085067,0.59,0.00,0.56,-0.14,27.24,27.24,26.62,25.92,411.90,412.11,15.13,0.01,15.14,0.01,-0.35,-1.05
14095337,0.59,0.00,0.58,-0.49,27.24,27.24,28.19,25.92,411.94,412.19,15.13,0.01,15.15,0.01,-0.52,-1.22
14137150,0.60,0.00,0.62,-0.14,27.91,27.91,29.31,28.76,421.47,421.70,15.12,0.02,15.13,0.02,1.65,1.97
14147611,0.60,0.00,0.61,0.22,27.91,27.91,28.36,28.76,421.34,421.64,15.12,0.02,15.13,0.02,1.49,0.94
14157913,0.60,0.00,0.63,0.37,27.91,27.91,28.36,30.00,421.32,421.42,15.12,0.02,15.13,0.03,0.49,2.12
14168318,0.60,0.00,0.64,0.44,27.91,27.91,29.42,30.00,421.28,421.24,15.12,0.02,15.13,0.03,0.47,2.10
14209672,0.60,0.00,0.63,0.27,27.91,27.91,28.30,29.97,420.95,420.49,15.11,0.03,15.11,0.04,0.40,2.06
