t,v_ref,w_ref,v,w,omega_L,omega_R,u_L,u_R,w_L,w_R,theta1_L,theta2_L,theta1_R,theta2_R,e_L,e_R
48258375,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,15.93,0.99,15.45,0.34,0.00,0.00
48280292,0.30,0.00,0.00,-0.01,0.00,0.00,13.95,13.95,0.00,0.00,15.93,0.99,15.45,0.34,-8.82,-8.82
48310002,0.30,0.00,0.00,0.34,0.00,0.00,13.95,13.95,0.00,0.00,15.94,0.99,15.46,0.34,-13.26,-13.26
48331887,0.30,0.00,0.00,0.00,0.02,0.00,13.95,13.95,0.02,0.00,15.95,0.99,15.47,0.34,-13.68,-13.70
48361548,0.30,0.00,0.00,0.27,0.02,0.02,13.95,13.95,0.02,0.02,15.97,0.99,15.49,0.34,-13.90,-13.90
48394028,0.30,0.00,0.11,-0.36,10.65,0.02,13.95,13.95,10.65,0.02,15.97,0.98,15.50,0.34,-3.30,-13.93
48426535,0.30,0.00,0.24,-0.17,11.22,10.85,13.95,13.95,11.22,10.85,15.97,0.98,15.51,0.34,-2.74,-3.10
48459272,0.30,0.00,0.25,-0.08,11.22,11.75,13.95,13.95,11.22,11.75,15.98,0.98,15.51,0.34,-2.74,-2.20
48491846,0.30,0.00,0.27,-0.00,12.35,12.78,13.95,13.95,12.35,12.78,15.98,0.98,15.51,0.34,-1.60,-1.17
48524482,0.30,0.00,0.28,-0.47,13.25,12.78,13.95,13.95,13.25,12.78,15.98,0.97,15.51,0.33,-0.71,-1.17
48557180,0.30,0.00,0.29,-0.34,13.75,13.01,13.95,13.95,13.75,13.01,15.98,0.97,15.51,0.33,-0.20,-0.95
48589754,0.30,0.00,0.28,-0.15,13.53,12.94,13.95,13.95,13.53,12.94,15.98,0.97,15.51,0.33,-0.43,-1.01
48609116,0.30,0.00,0.29,0.02,13.53,13.76,13.95,13.95,13.53,13.76,15.98,0.97,15.51,0.33,-0.43,-0.20
48638704,0.30,0.00,0.29,-0.08,13.38,13.76,13.95,13.95,13.38,13.76,15.98,0.97,15.51,0.33,-0.58,-0.20
48658068,0.30,0.00,0.29,-0.03,13.75,13.60,13.95,13.95,13.38,13.60,15.98,0.97,15.51,0.33,-0.58,-0.35
48687892,0.30,0.00,0.48,-0.13,30.79,14.07,13.95,13.95,30.79,14.07,15.97,1.00,15.51,0.33,16.84,0.12
48720573,0.30,0.00,0.40,0.08,23.59,13.51,13.95,13.95,23.59,14.07,15.95,1.02,15.51,0.33,9.64,0.12
48752998,0.30,0.00,0.30,0.21,14.17,13.51,13.95,13.95,14.17,13.51,15.95,1.02,15.51,0.33,0.22,-0.45
48785649,0.30,0.00,0.30,0.05,13.64,14.64,13.95,13.95,13.64,14.64,15.95,1.02,15.51,0.33,-0.32,0.69
48818168,0.30,0.00,0.29,-0.04,13.22,13.54,13.95,13.95,13.22,13.54,15.95,1.02,15.51,0.33,-0.74,-0.41
48850625,0.30,0.00,0.29,-0.03,13.77,13.41,13.95,13.95,13.77,13.41,15.95,1.02,15.51,0.33,-0.19,-0.55
48883272,0.30,0.00,0.30,0.05,13.77,13.80,13.95,13.95,13.77,13.80,15.95,1.02,15.51,0.33,-0.19,-0.15
48915896,0.30,0.00,0.29,-0.04,13.53,13.43,13.95,13.95,13.53,13.43,15.95,1.02,15.52,0.33,-0.42,-0.52
48948451,0.30,0.00,0.28,-0.07,12.69,13.43,13.95,13.95,12.69,13.43,15.95,1.02,15.52,0.33,-1.26,-0.52
48981089,0.00,0.00,0.29,0.24,13.80,13.63,0.00,0.00,13.80,13.63,15.95,1.02,15.51,0.33,8.66,8.49
49002984,0.00,0.00,0.30,0.44,13.80,13.71,0.00,0.00,13.80,13.71,15.95,1.03,15.51,0.34,11.91,11.82
49032631,0.00,0.00,0.30,0.11,13.80,13.71,0.00,0.00,13.80,13.71,15.95,1.05,15.51,0.36,13.54,13.45
49054520,0.00,0.00,0.30,-0.20,13.80,13.71,0.00,0.00,13.80,13.71,15.94,1.06,15.51,0.37,13.70,13.61
49084426,0.00,0.00,0.30,0.30,13.80,13.71,0.00,0.00,13.80,13.71,15.94,1.08,15.50,0.39,13.78,13.69
49106273,0.00,0.00,0.30,0.41,13.80,13.71,0.00,0.00,13.80,13.71,15.94,1.09,15.50,0.40,13.79,13.70
49135978,0.00,0.00,0.30,-0.09,13.80,13.71,0.00,0.00,13.80,13.71,15.93,1.10,15.50,0.42,13.80,13.70
49157982,0.00,0.00,0.30,-0.01,13.80,13.71,0.00,0.00,13.80,13.71,15.93,1.11,15.49,0.43,13.80,13.71
49187880,0.00,0.00,0.30,-0.04,13.80,13.71,0.00,0.00,13.80,13.71,15.93,1.13,15.49,0.44,13.80,13.71
49209840,0.00,0.00,0.30,-0.02,13.80,13.71,0.00,0.00,13.80,13.71,15.92,1.14,15.49,0.45,13.80,13.71
49239531,0.00,0.00,0.30,-0.01,13.80,13.71,0.00,0.00,13.80,13.71,15.92,1.16,15.48,0.47,13.80,13.71
49261448,0.00,0.00,0.30,-0.01,13.80,13.71,0.00,0.00,13.80,13.71,15.92,1.17,15.48,0.48,13.80,13.71
49291342,-0.30,0.00,0.30,0.02,13.80,13.71,-13.95,-13.95,13.80,13.71,15.93,1.19,15.49,0.51,22.62,22.53
49323921,-0.30,0.00,0.30,0.03,13.80,13.71,-13.95,-13.95,13.80,13.71,15.96,1.23,15.52,0.54,27.05,26.96
49356613,-0.30,0.00,-0.03,1.77,-1.43,-1.48,-13.95,-13.95,-1.43,-1.48,15.97,1.23,15.54,0.56,12.43,12.38
49376079,-0.30,0.00,-0.03,2.02,-1.43,-1.48,-13.95,-13.95,-1.43,-1.48,15.98,1.23,15.55,0.56,12.49,12.44
49405988,-0.30,0.00,-0.23,1.65,-10.79,-10.97,-13.95,-13.95,-10.79,-10.97,15.98,1.22,15.55,0.56,3.16,2.98
49438877,-0.30,0.00,-0.25,0.81,-11.99,-11.02,-13.95,-13.95,-11.99,-11.02,15.98,1.22,15.55,0.55,1.96,2.93
49471670,-0.30,0.00,-0.25,0.64,-12.61,-11.02,-13.95,-13.95,-12.61,-11.02,15.98,1.22,15.56,0.55,1.34,2.93
49491124,-0.30,0.00,-0.25,0.69,-12.61,-11.09,-13.95,-13.95,-12.61,-11.09,15.98,1.22,15.56,0.55,1.34,2.87
49521111,-0.30,0.00,-0.26,0.21,-12.95,-11.09,-13.95,-13.95,-12.95,-11.09,15.99,1.22,15.56,0.54,1.00,2.87
49553901,-0.30,0.00,-0.28,0.23,-13.67,-12.12,-13.95,-13.95,-13.67,-12.12,15.99,1.22,15.56,0.54,0.29,1.83
49586689,-0.30,0.00,-0.28,0.43,-13.57,-12.32,-13.95,-13.95,-13.57,-12.32,15.99,1.21,15.57,0.54,0.39,1.63
49606223,-0.30,0.00,-0.28,0.18,-13.57,-12.32,-13.95,-13.95,-13.57,-12.32,15.99,1.21,15.57,0.54,0.39,1.63
49636184,-0.30,0.00,-0.28,0.46,-13.72,-12.69,-13.95,-13.95,-13.72,-12.69,15.99,1.21,15.57,0.54,0.23,1.26
