t,v_ref,w_ref,v,w,u_L,u_R,omega_L,omega_R,w_L,w_R,theta1_L,theta2_L,theta1_R,theta2_R,e_L,e_R
20048865,0.00,5.00,0.09,5.19,-9.59,9.59,-9.61,8.72,-144.48,145.23,15.07,0.01,15.14,0.00,-0.02,-0.87
20059265,0.00,5.00,-0.01,5.30,-9.59,9.59,-9.46,8.72,-144.48,145.24,15.07,0.01,15.15,0.00,0.13,-0.87
20069887,0.00,5.00,-0.10,4.97,-9.59,9.59,-9.46,0.00,-144.48,145.27,15.07,0.01,15.15,0.00,0.13,-9.59
20080156,0.00,5.00,-0.00,4.87,-9.59,9.59,-9.46,9.19,-144.48,145.27,15.07,0.01,15.15,0.00,0.13,-0.40
20121061,0.00,5.00,-0.00,4.59,-9.59,9.59,-9.26,9.19,-144.52,145.27,15.08,0.00,15.15,0.00,0.33,-0.40
20131426,0.00,5.00,-0.00,4.51,-9.59,9.59,-9.26,8.94,-144.52,145.30,15.08,0.00,15.15,0.00,0.33,-9.59
20141802,0.00,5.00,-0.00,4.77,-9.59,9.59,-9.26,8.94,-144.52,145.30,15.08,0.00,15.15,0.00,0.33,-0.65
20152002,0.00,5.00,-0.00,4.81,-9.59,9.59,-9.26,8.94,-144.53,145.31,15.08,0.00,15.15,0.00,0.33,-0.65
20193153,0.00,5.00,-0.01,4.72,-9.59,9.59,-9.75,8.92,-144.55,145.31,15.08,0.00,15.15,0.00,-0.16,-0.67
20203543,0.00,5.00,-0.01,4.76,-9.59,9.59,-9.75,8.92,-144.55,145.32,15.08,0.00,15.15,0.00,-0.16,-0.67
20213843,0.00,5.00,-0.01,4.82,-9.59,9.59,-10.12,8.92,-144.55,145.32,15.08,0.00,15.15,0.00,-0.16,-0.67
20224059,0.00,5.00,-0.01,4.68,-9.59,9.59,-10.12,8.92,-144.54,145.32,15.08,0.01,15.15,0.00,-0.53,-0.67
20265012,0.00,5.00,0.10,4.53,-9.59,9.59,-9.75,8.90,-144.52,145.36,15.08,0.01,15.16,0.00,-0.53,-0.69
20275520,0.00,5.00,-0.01,4.48,-9.59,9.59,-9.76,8.90,-144.52,145.36,15.08,0.01,15.16,0.00,-0.17,-0.69
20285848,0.00,5.00,-0.01,4.54,-9.59,9.59,-9.76,8.90,-144.51,145.36,15.08,0.01,15.16,0.00,-0.17,-0.69
20296045,0.00,5.00,-0.01,4.57,-9.59,9.59,-9.76,8.90,-144.51,145.36,15.08,0.01,15.16,0.00,-0.17,-0.69
20347256,0.00,5.00,-0.01,4.77,-9.59,9.59,-9.99,8.79,-144.49,145.40,15.08,0.01,15.16,0.00,-0.40,-0.80
20357469,0.00,5.00,-0.11,4.67,-9.59,9.59,-9.99,0.00,-144.49,145.41,15.07,0.01,15.16,0.00,-0.40,-0.80
20367871,0.00,5.00,-0.01,4.77,-9.59,9.59,-9.99,8.73,-144.48,145.44,15.07,0.01,15.17,0.00,-0.40,-9.59
20378148,0.00,5.00,-0.01,4.77,-9.59,9.59,-9.91,8.73,-144.48,145.44,15.07,0.01,15.17,0.00,-0.32,-0.86
20419240,0.00,5.00,-0.11,4.82,-9.59,9.59,-9.91,0.00,-144.47,145.45,15.07,0.01,15.17,0.00,-0.32,-0.86
20429802,0.00,5.00,-0.01,4.75,-9.59,9.59,-9.78,8.54,-144.58,145.48,15.08,0.01,15.17,0.00,9.59,-9.59
20440028,0.00,5.00,-0.01,4.75,-9.59,9.59,-9.78,8.54,-144.50,145.48,15.08,0.01,15.17,0.00,-0.19,-1.05
20450231,0.00,5.00,-0.01,4.87,-9.59,9.59,-9.78,8.54,-144.49,145.49,15.08,0.01,15.17,0.00,-0.19,-1.05
20480855,0.00,5.00,0.00,4.92,-9.59,9.59,-9.51,8.51,-144.61,145.50,15.08,0.01,15.17,0.00,9.59,-1.05
20491430,0.00,5.00,-0.00,5.21,-9.59,9.59,-9.11,8.86,-144.53,145.53,15.08,0.01,15.18,0.00,0.48,-9.59
20501665,0.00,5.00,-0.00,5.39,-9.59,9.59,-9.11,8.86,-144.53,145.53,15.08,0.01,15.18,0.00,0.48,-0.73
20511864,0.00,5.00,-0.00,5.40,-9.59,9.59,-9.11,8.86,-144.54,145.53,15.08,0.01,15.18,0.00,0.48,-0.73
20563070,0.00,5.00,-0.01,5.37,-9.59,9.59,-10.03,8.64,-144.52,145.57,15.08,0.01,15.18,0.00,-0.44,-0.95
20573452,0.00,5.00,-0.01,5.31,-9.59,9.59,-10.03,8.64,-144.52,145.58,15.08,0.01,15.18,0.00,-0.44,-0.95
20583665,0.00,5.00,-0.01,5.41,-9.59,9.59,-10.03,8.64,-144.51,145.58,15.08,0.01,15.18,0.00,-0.44,-0.95
20593991,0.00,5.00,-0.01,5.22,-9.59,9.59,-9.47,8.64,-144.63,145.58,15.08,0.01,15.18,0.00,9.59,-0.95
20635078,0.00,5.00,-0.01,5.34,-9.59,9.59,-9.47,8.76,-144.55,145.62,15.08,0.01,15.19,0.00,0.12,-0.83
20645692,0.00,5.00,-0.01,5.35,-9.59,9.59,-9.65,8.76,-144.66,145.62,15.09,0.01,15.19,0.00,9.59,-0.83
20655922,0.00,5.00,-0.01,5.47,-9.59,9.59,-9.65,8.76,-144.58,145.62,15.09,0.01,15.19,0.00,-0.06,-0.83
20666141,0.00,5.00,-0.10,5.19,-9.59,9.59,-9.65,8.80,-144.58,145.65,15.09,0.01,15.19,0.00,-0.06,-9.59
20717421,0.00,5.00,-0.01,5.42,-9.59,9.59,-9.89,8.84,-144.57,145.67,15.08,0.01,15.19,0.00,-0.30,-0.75
20727716,0.00,5.00,-0.01,5.58,-9.59,9.59,-9.89,9.09,-144.57,145.70,15.08,0.01,15.19,0.00,-0.30,-9.59
20737971,0.00,5.00,-0.01,5.41,-9.59,9.59,-9.89,9.09,-144.56,145.70,15.08,0.01,15.19,0.00,-0.30,-0.50
20748157,0.00,5.00,-0.01,5.13,-9.59,9.59,-9.89,9.09,-144.56,145.70,15.08,0.01,15.19,0.00,-0.30,-0.50
20778982,0.00,5.00,-0.10,5.19,-9.59,9.59,-9.73,9.50,-144.56,145.70,15.08,0.01,15.19,0.00,-0.14,-0.50
20789394,0.00,5.00,-0.00,4.96,-9.59,9.59,-9.73,9.54,-144.55,145.70,15.08,0.01,15.19,0.00,-0.14,-0.05
20799625,0.00,5.00,-0.00,4.78,-9.59,9.59,-9.73,9.54,-144.55,145.70,15.08,0.01,15.19,0.00,-0.14,-0.05
20809864,0.00,5.00,-0.00,4.94,-9.59,9.59,-9.64,9.54,-144.68,145.70,15.09,0.01,15.19,0.00,9.59,-0.05
20850856,0.00,5.00,-0.00,4.74,-9.59,9.59,-9.64,9.34,-144.58,145.71,15.09,0.01,15.19,0.00,-0.05,-0.25
